2,2,100,1,GDOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
5600,-713376.7105,-4045532.334,4862950.847,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872670839,-1.745338891,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713376.7105,-4045532.334,4862950.847,-6.023,6.5624,4.5452,0,0,0,0.872670839,-1.745338891,178,2.295
5700,-713377.3128,-4045531.678,4862951.301,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.87267095,-1.745339063,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713377.3128,-4045531.678,4862951.301,-6.023,6.5624,4.5452,0,0,0,0.87267095,-1.745339063,178,2.295
5800,-713377.9151,-4045531.022,4862951.756,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872671061,-1.745339236,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713377.9151,-4045531.022,4862951.756,-6.023,6.5624,4.5452,0,0,0,0.872671061,-1.745339236,178,2.295
5900,-713378.5174,-4045530.365,4862952.21,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872671172,-1.745339408,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713378.5174,-4045530.365,4862952.21,-6.023,6.5624,4.5452,0,0,0,0.872671172,-1.745339408,178,2.295
6000,-713379.1197,-4045529.709,4862952.665,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872671283,-1.74533958,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713379.1197,-4045529.709,4862952.665,-6.023,6.5624,4.5452,0,0,0,0.872671283,-1.74533958,178,2.295
6100,-713379.722,-4045529.053,4862953.119,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872671394,-1.745339752,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713379.722,-4045529.053,4862953.119,-6.023,6.5624,4.5452,0,0,0,0.872671394,-1.745339752,178,2.295
6200,-713380.3243,-4045528.397,4862953.574,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872671505,-1.745339924,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713380.3243,-4045528.397,4862953.574,-6.023,6.5624,4.5452,0,0,0,0.872671505,-1.745339924,178,2.295
6300,-713380.9266,-4045527.74,4862954.028,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872671616,-1.745340096,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713380.9266,-4045527.74,4862954.028,-6.023,6.5624,4.5452,0,0,0,0.872671616,-1.745340096,178,2.295
6400,-713381.5289,-4045527.084,4862954.483,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872671727,-1.745340268,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713381.5289,-4045527.084,4862954.483,-6.023,6.5624,4.5452,0,0,0,0.872671727,-1.745340268,178,2.295
6500,-713382.1312,-4045526.428,4862954.937,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872671838,-1.745340441,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713382.1312,-4045526.428,4862954.937,-6.023,6.5624,4.5452,0,0,0,0.872671838,-1.745340441,178,2.295
